ECL_RS00190	GO:0000155,GO:0000160,GO:0003674,GO:0003824,GO:0004672,GO:0004673,GO:0004721,GO:0005575,GO:0005623,GO:0005886,GO:0006464,GO:0006468,GO:0006470,GO:0006793,GO:0006796,GO:0006807,GO:0007154,GO:0007165,GO:0008150,GO:0008152,GO:0009987,GO:0016020,GO:0016301,GO:0016310,GO:0016311,GO:0016740,GO:0016772,GO:0016773,GO:0016775,GO:0016787,GO:0016788,GO:0016791,GO:0018106,GO:0018193,GO:0018202,GO:0019538,GO:0023014,GO:0023052,GO:0035556,GO:0036211,GO:0042578,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044464,GO:0046777,GO:0050789,GO:0050794,GO:0050896,GO:0051716,GO:0065007,GO:0071704,GO:0071944,GO:0140096,GO:1901564
ECL_RS00195	GO:0000160,GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0007154,GO:0007165,GO:0008150,GO:0009987,GO:0016020,GO:0016021,GO:0023052,GO:0031224,GO:0031226,GO:0035556,GO:0044425,GO:0044459,GO:0044464,GO:0050789,GO:0050794,GO:0050896,GO:0051716,GO:0065007,GO:0071944
ECL_RS00200	GO:0003674,GO:0005215,GO:0005575,GO:0005623,GO:0005886,GO:0006810,GO:0006811,GO:0006817,GO:0006820,GO:0008150,GO:0008509,GO:0015075,GO:0015103,GO:0015114,GO:0015119,GO:0015291,GO:0015297,GO:0015301,GO:0015315,GO:0015318,GO:0015526,GO:0015605,GO:0015698,GO:0015711,GO:0015712,GO:0015748,GO:0015760,GO:0016020,GO:0022804,GO:0022857,GO:0034220,GO:0035435,GO:0044464,GO:0051179,GO:0051234,GO:0055085,GO:0071702,GO:0071944,GO:0098656,GO:0098660,GO:0098661,GO:0099516,GO:1901264,GO:1901505
ECL_RS00205	-
ECL_RS00210	-
ECL_RS00215	-
ECL_RS00220	-
ECL_RS00225	GO:0003674,GO:0005215,GO:0005337,GO:0005575,GO:0005623,GO:0005886,GO:0006810,GO:0008150,GO:0015211,GO:0015858,GO:0015860,GO:0015931,GO:0015932,GO:0016020,GO:0022857,GO:0044464,GO:0051179,GO:0051234,GO:0055085,GO:0071702,GO:0071705,GO:0071944,GO:0072530,GO:1901264,GO:1901505,GO:1901642
ECL_RS00230	GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944
ECL_RS00235	-
